Reporte,Estado,Centro,Calificación,Fecha Reporte,Atendido,Fecha_Limite_Pago,Fecha Pago,Tiempo hasta pago,Deuda,Pagos,Total,Estado Pago,Fecha Factura,Fecha_Limite_Facturacion,Estatus Facturacion,Dias de Facturación,Falla
35843,15,916,Regulares,2024-01-29 00:00:00,2024-02-02 00:00:00,2024-03-03 00:00:00,2024-09-27 00:00:00,238,$0.00,$2900.00,$2900,❌ Pago Con Atraso,2001-01-01 00:00:00,2024-10-04 00:00:00,❌ No Facturado (Fuera de Tiempo),490,NO MARCA PESO
38898,15,821,Rodrigo Vega,2024-09-10 00:00:00,2024-09-11 00:00:00,2024-10-11 00:00:00,2024-10-17 00:00:00,36,$0.00,$603.90,$603.9,❌ Pago Con Atraso,2001-01-01 00:00:00,2024-10-24 00:00:00,❌ No Facturado (Fuera de Tiempo),470,NO APRUEBA COMPROBACION DE FUGAS
39089,9,85,Regulares,2024-09-27 00:00:00,2024-10-07 00:00:00,2024-11-06 00:00:00,2024-10-23 00:00:00,16,$0.00,$2320.00,$2320,✔ Pagado,2001-01-01 00:00:00,2024-10-30 00:00:00,❌ No Facturado (Fuera de Tiempo),464,CALIBRACION DE TACOMETROS - JUEVES 3 DE OCT 9:30 AM
39133,9,85,Regulares,2024-10-01 00:00:00,2024-10-18 00:00:00,2024-11-17 00:00:00,2024-10-23 00:00:00,5,$0.00,$32905.06,$32905.06,✔ Pagado,2001-01-01 00:00:00,2024-10-30 00:00:00,❌ No Facturado (Fuera de Tiempo),464,MANTENIMIENTO PREVENTIVO -4 LINEAS
39153,15,823,Rodrigo Vega,2024-10-01 00:00:00,2024-10-10 00:00:00,2024-11-09 00:00:00,2024-10-24 00:00:00,14,$0.00,$29893.44,$29893.44,✔ Pagado,2001-01-01 00:00:00,2024-10-31 00:00:00,❌ No Facturado (Fuera de Tiempo),463,MANTENIMIENTO PREVENTIVO -5 LINEAS
39429,99,888,Regulares,2024-10-24 00:00:00,2024-10-23 00:00:00,2024-11-22 00:00:00,2024-10-30 00:00:00,7,$0.00,$5800.00,$5800,✔ Pagado,2001-01-01 00:00:00,2024-11-06 00:00:00,❌ No Facturado (Fuera de Tiempo),457,REFACCIONES - 1 CELDA DE NOX
39479,99,888,Regulares,2024-10-31 00:00:00,2024-10-31 00:00:00,2024-11-30 00:00:00,2024-10-30 00:00:00,'-1,$0.00,$1800.00,$1800,✔ Pagado,2001-01-01 00:00:00,2024-11-06 00:00:00,❌ No Facturado (Fuera de Tiempo),457,REFACCIONES - 1 SENSOR DE OXIGENO
39117,9,5,Regulares,2024-10-01 00:00:00,2024-10-15 00:00:00,2024-11-14 00:00:00,2024-11-28 00:00:00,44,$0.00,$49357.59,$49357.59,❌ Pago Con Atraso,2001-01-01 00:00:00,2024-12-05 00:00:00,❌ No Facturado (Fuera de Tiempo),428,MANTENIMIENTO PREVENTIVO -6 LINEAS
39891,9,85,Regulares,2024-12-02 00:00:00,2024-12-19 00:00:00,2025-01-18 00:00:00,2024-12-13 00:00:00,'-6,$0.00,$32917.46,$32917.46,✔ Pagado,2001-01-01 00:00:00,2024-12-20 00:00:00,❌ No Facturado (Fuera de Tiempo),413,MANTENIMIENTO PREVENTIVO -4 LINEAS
40032,16,1604,Regulares,2024-12-10 00:00:00,2025-01-03 00:00:00,2025-02-02 00:00:00,2025-01-03 00:00:00,0,$0.00,$10769.49,$10769.49,✔ Pagado,2001-01-01 00:00:00,2025-01-10 00:00:00,❌ No Facturado (Fuera de Tiempo),392,MANTENIMIENTO PREVENTIVO - 1 LINEA 20/12/24
40288,30,105,Especiales,2025-01-06 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2025-01-10 00:00:00,4,$0.00,$5298.58,$5298.58,✔ Pagado,2001-01-01 00:00:00,2025-01-17 00:00:00,❌ No Facturado (Fuera de Tiempo),385,MANTENIMIENTO PREVENTIVO -1 LINEAS
44385,30,31,Regulares,2026-01-02 00:00:00,2026-01-03 00:00:00,2026-02-02 00:00:00,2025-01-02 00:00:00,'-366,$0.00,$1972.00,$1972,✔ Pagado,2026-01-08 00:00:00,2025-01-09 00:00:00,⚠ Facturado Fuera de Tiempo,371,ACTUALIZACION DE TABLA DE VEHICULO V-031-ORI
44277,17,1713,Regulares,2025-12-23 00:00:00,2026-01-12 00:00:00,2026-02-11 00:00:00,2025-01-12 00:00:00,'-365,$0.00,$5228.76,$5228.76,✔ Pagado,2026-01-14 00:00:00,2025-01-19 00:00:00,⚠ Facturado Fuera de Tiempo,367,REFACCIONES - 5 SENSOR OBDII USB
36068,30,101,Especiales,2024-02-09 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-02-09 00:00:00,0,$0.00,$12298.32,$12298.32,✔ Pagado,2025-01-27 00:00:00,2024-02-16 00:00:00,⚠ Facturado Fuera de Tiempo,353,VENTA DE VARIADOR BIFASICO
40667,22,30,Regulares,2025-02-05 00:00:00,2025-02-11 00:00:00,2025-03-13 00:00:00,2025-02-11 00:00:00,0,$0.00,$11420.76,$11420.76,✔ Pagado,2001-01-01 00:00:00,2025-02-18 00:00:00,❌ No Facturado (Fuera de Tiempo),353,NO APRUEBA CALIBRACION DE GASES POR NIVEL NEGATIVO DE OXIGENO
40794,15,818,Regulares,2025-02-18 00:00:00,2025-02-19 00:00:00,2025-03-21 00:00:00,2025-02-19 00:00:00,0,$0.00,$375.16,$375.16,✔ Pagado,2001-01-01 00:00:00,2025-02-26 00:00:00,❌ No Facturado (Fuera de Tiempo),345,MODULO DE SEGURIDAD NO RESPONDE
40684,30,47,Regulares,2025-02-06 00:00:00,2025-02-27 00:00:00,2025-03-29 00:00:00,2025-02-20 00:00:00,'-7,$0.00,$580.00,$580,✔ Pagado,2001-01-01 00:00:00,2025-02-27 00:00:00,❌ No Facturado (Fuera de Tiempo),344,ACAYUCAN - V-047-A/ACA NOX FUERA DE RANGO
36065,30,103,Especiales,2024-02-09 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-02-22 00:00:00,13,$0.00,$682956.02,$682956.02,✔ Pagado,2025-01-30 00:00:00,2024-02-29 00:00:00,⚠ Facturado Fuera de Tiempo,343,"VENTA DE EQUIPO GASOLINA, DINO AZTEC, COMPUTO,VIDEO,AFORO"
36165,30,105,Especiales,2024-02-19 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-02-19 00:00:00,0,$0.00,$12256.56,$12256.56,✔ Pagado,2025-01-27 00:00:00,2024-02-26 00:00:00,⚠ Facturado Fuera de Tiempo,343,VENTA DE CONTROLADOR BIFASICO
36204,30,103,Especiales,2024-02-21 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-02-21 00:00:00,0,$0.00,$12298.32,$12298.32,✔ Pagado,2025-01-27 00:00:00,2024-02-28 00:00:00,⚠ Facturado Fuera de Tiempo,341,VENTA DE VARIADOR BIFASICO
40832,22,30,Regulares,2025-02-20 00:00:00,2025-02-21 00:00:00,2025-03-23 00:00:00,2025-02-25 00:00:00,4,$0.00,$17717.67,$17717.67,✔ Pagado,2001-01-01 00:00:00,2025-03-04 00:00:00,❌ No Facturado (Fuera de Tiempo),339,REVISION DE MSM EN LABORATORIO
36010,30,101,Especiales,2024-02-06 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-03-05 00:00:00,28,$0.00,$707862.69,$707862.69,✔ Pagado,2025-01-29 00:00:00,2024-03-12 00:00:00,⚠ Facturado Fuera de Tiempo,330,(CECILIO JIMENEZ) VENTA DE EQUIPO DE VERIFICACION
40003,30,47,Regulares,2024-12-05 00:00:00,2024-12-26 00:00:00,2025-01-25 00:00:00,2024-12-02 00:00:00,'-24,$0.00,$2434.00,$2434,✔ Pagado,2025-10-21 00:00:00,2024-12-09 00:00:00,⚠ Facturado Fuera de Tiempo,323,FALLA EN CANAL DE NOX (NO SE PUEDE CALIBRAR) V-047/B-ACA
41039,15,829,Rodrigo Vega,2025-03-05 00:00:00,2025-03-12 00:00:00,2025-04-11 00:00:00,2025-03-13 00:00:00,1,$0.00,$736.60,$736.6,✔ Pagado,2001-01-01 00:00:00,2025-03-20 00:00:00,❌ No Facturado (Fuera de Tiempo),323,REFACCIONES - 1 PIPETA PARA OPACIMETRO
36885,30,112,Especiales,2024-04-09 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-03-20 00:00:00,'-20,$0.00,$12257.00,$12257,✔ Pagado,2025-01-28 00:00:00,2024-03-27 00:00:00,⚠ Facturado Fuera de Tiempo,314,VARIADOR BIFASICO
39754,9,85,Regulares,2024-11-20 00:00:00,2024-11-25 00:00:00,2024-12-25 00:00:00,2024-12-13 00:00:00,18,$0.00,$1740.00,$1740,✔ Pagado,2025-10-20 00:00:00,2024-12-20 00:00:00,⚠ Facturado Fuera de Tiempo,311, NO REGISTRA REVOLUCIONES EN EL TACÓMETRO DE OPACIMETRO SI MARCA PERO NO LLEGA COMUNICACIÓN A LA PANTALLA
38345,13,7,Regulares,2024-08-01 00:00:00,2024-08-20 00:00:00,2024-09-19 00:00:00,2024-06-19 00:00:00,'-62,$0.00,$23321.57,$23321.57,✔ Pagado,2025-04-03 00:00:00,2024-06-26 00:00:00,⚠ Facturado Fuera de Tiempo,288,MANTENIMIENTO PREVENTIVO -4 LINEAS
40135,30,47,Regulares,2024-12-20 00:00:00,2024-12-23 00:00:00,2025-01-22 00:00:00,2025-01-08 00:00:00,16,$0.00,$3480.00,$3480,✔ Pagado,2025-10-21 00:00:00,2025-01-15 00:00:00,⚠ Facturado Fuera de Tiempo,286,B-ACA VERICONGO - NO ESTA AVANZANDO EL CONTEO DE LOS 60 S EN PRUEBA
40100,30,111,Especiales,2024-12-17 00:00:00,2024-12-23 00:00:00,2025-01-22 00:00:00,2025-01-14 00:00:00,22,$0.00,$464.00,$464,✔ Pagado,2025-10-14 00:00:00,2025-01-21 00:00:00,⚠ Facturado Fuera de Tiempo,273,V-XAL-03 LOS VASOS PORTAFILTRO PRESENTAN FISURAS
37268,30,114,Especiales,2024-05-08 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-05-20 00:00:00,12,$0.00,$12257.00,$12257,✔ Pagado,2025-01-29 00:00:00,2024-05-27 00:00:00,⚠ Facturado Fuera de Tiempo,254,VENTA DE CONTROLADOR BIFASICO
37413,30,102,Especiales,2024-05-21 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-05-21 00:00:00,0,$0.00,$24514.00,$24514,✔ Pagado,2025-01-30 00:00:00,2024-05-28 00:00:00,⚠ Facturado Fuera de Tiempo,254,VENTA DE 2 CONTROLADORES BIFASICOS
41860,30,27,Regulares,2025-05-19 00:00:00,2025-05-21 00:00:00,2025-06-20 00:00:00,2025-05-21 00:00:00,0,$0.00,$3480.00,$3480,✔ Pagado,2001-01-01 00:00:00,2025-05-28 00:00:00,❌ No Facturado (Fuera de Tiempo),254,"V-027-ORI SOPORTE REMOTO - POSICION 2 NO MANDA PRUEBAS DIESEL, DIRIGE A PANTALLA DE PROGRAMA DE MANTENIMIENTO"
41268,15,401,Regulares,2025-03-31 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-05-30 00:00:00,59,$0.00,$3480.00,$3480,❌ Pago Con Atraso,2001-01-01 00:00:00,2025-06-06 00:00:00,❌ No Facturado (Fuera de Tiempo),245,NO SE DETECTAN MODULOS DE POTENCIA NI MUESTRA
37954,13,3,Regulares,2024-07-01 00:00:00,2024-07-16 00:00:00,2024-08-15 00:00:00,2024-05-29 00:00:00,'-48,$0.00,$29151.96,$29151.96,✔ Pagado,2025-01-27 00:00:00,2024-06-05 00:00:00,⚠ Facturado Fuera de Tiempo,243,MANTENIMIENTO PREVENTIVO -5 LINEAS
35809,33,249,Regulares,2024-01-24 00:00:00,2024-01-29 00:00:00,2024-02-28 00:00:00,2024-02-02 00:00:00,4,$0.00,$5800.00,$5800,✔ Pagado,2024-09-23 00:00:00,2024-02-09 00:00:00,⚠ Facturado Fuera de Tiempo,234,"REUBICACIÓN DE EQUIPO DE VERIFICACIÓN Y CAMBIO DE TIPO DE CENTRO 23/1/24, REVISIÓN MCEP"
36221,30,107,Especiales,2024-02-22 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-06-24 00:00:00,123,$0.00,$618101.36,$618101.36,❌ Pago Con Atraso,2025-01-28 00:00:00,2024-07-01 00:00:00,⚠ Facturado Fuera de Tiempo,218,DINAMOMETRO MUSTANG
36223,30,108,Especiales,2024-02-22 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-06-24 00:00:00,123,$0.00,$618101.36,$618101.36,❌ Pago Con Atraso,2025-01-28 00:00:00,2024-07-01 00:00:00,⚠ Facturado Fuera de Tiempo,218,DINAMOMETRO MUSTANG
36225,30,109,Especiales,2024-02-22 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-06-24 00:00:00,123,$0.00,$618101.36,$618101.36,❌ Pago Con Atraso,2025-01-28 00:00:00,2024-07-01 00:00:00,⚠ Facturado Fuera de Tiempo,218, DINAMOMETRO MUSTANG
37664,30,107,Especiales,2024-06-06 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-06-25 00:00:00,19,$0.00,$11600.00,$11600,✔ Pagado,2025-01-29 00:00:00,2024-07-02 00:00:00,⚠ Facturado Fuera de Tiempo,218,VENTA DE CONTROLADOR TRIFASICO
37667,30,108,Especiales,2024-06-06 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-06-25 00:00:00,19,$0.00,$12257.00,$12257,✔ Pagado,2025-01-29 00:00:00,2024-07-02 00:00:00,⚠ Facturado Fuera de Tiempo,218,VENTA DE CONTROLADOR BIFASICO
37055,30,113,Especiales,2024-04-23 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-06-26 00:00:00,64,$0.00,$676101.36,$676101.36,❌ Pago Con Atraso,2025-01-29 00:00:00,2024-07-03 00:00:00,⚠ Facturado Fuera de Tiempo,217, DINAMOMETRO MUSTANG
36049,30,104,Especiales,2024-02-08 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-06-28 00:00:00,141,$0.00,$707862.69,$707862.69,❌ Pago Con Atraso,2025-01-30 00:00:00,2024-07-05 00:00:00,⚠ Facturado Fuera de Tiempo,216,"VENTA DE LINEA DE GASOLINA, DINAMOMETRO AZTEC. DIESEL DUAL, COMPUTO, VIDEO, AFORO"
36104,30,105,Especiales,2024-02-13 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-06-28 00:00:00,136,$0.00,$618999.99,$618999.99,❌ Pago Con Atraso,2025-01-30 00:00:00,2024-07-05 00:00:00,⚠ Facturado Fuera de Tiempo,216,"VENTA DE EQUIPO, GASOLINA, DIESEL DUAL, DINAMOMETRO AZTEC, COMPUTO VIDEO, AFORO"
37665,30,109,Especiales,2024-06-06 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-06-27 00:00:00,21,$0.00,$11600.00,$11600,✔ Pagado,2025-01-29 00:00:00,2024-07-04 00:00:00,⚠ Facturado Fuera de Tiempo,216,VENTA DE CONTROLADOR TRIFASICO
39636,37,129,Especiales,2024-11-07 00:00:00,2024-11-09 00:00:00,2024-12-09 00:00:00,2025-05-07 00:00:00,179,$0.00,$30204.20,$30204.2,❌ Pago Con Atraso,2025-12-08 00:00:00,2025-05-14 00:00:00,⚠ Facturado Fuera de Tiempo,215,FUGA EN LINEAS 3 Y 4 (REVISION ANTES DE VISITA DE EMA)
39842,37,129,Especiales,2024-11-28 00:00:00,2024-11-29 00:00:00,2024-12-29 00:00:00,2025-05-07 00:00:00,159,$0.00,$311.81,$311.81,❌ Pago Con Atraso,2025-12-08 00:00:00,2025-05-14 00:00:00,⚠ Facturado Fuera de Tiempo,215,NO COMUNICA OPACIMETRO (LLEVAR CONVERTIDOR SERIAL)
40126,37,129,Especiales,2024-12-20 00:00:00,2025-01-02 00:00:00,2025-02-01 00:00:00,2025-05-07 00:00:00,125,$0.00,$5800.00,$5800,❌ Pago Con Atraso,2025-12-08 00:00:00,2025-05-14 00:00:00,⚠ Facturado Fuera de Tiempo,215,"CALIBRACION DINAMICA LINEAS 1 Y 2, JUEVES 2 ENERO 2025 14:00"
40336,37,129,Especiales,2025-01-08 00:00:00,2025-01-08 00:00:00,2025-02-07 00:00:00,2025-05-07 00:00:00,119,$0.00,$2668.00,$2668,❌ Pago Con Atraso,2025-12-08 00:00:00,2025-05-14 00:00:00,⚠ Facturado Fuera de Tiempo,215,DISCO DURO DE CPU DAÑADO
42790,37,129,Especiales,2025-08-04 00:00:00,2025-08-06 00:00:00,2025-09-05 00:00:00,2025-05-07 00:00:00,'-91,$0.00,$5800.00,$5800,✔ Pagado,2025-12-08 00:00:00,2025-05-14 00:00:00,⚠ Facturado Fuera de Tiempo,215,CALIBRACION DINAMICA LINEAS 3 Y 4 MIERCOLES 6 DE AGOSTO 10:00
43202,37,129,Especiales,2025-09-05 00:00:00,2025-09-06 00:00:00,2025-10-06 00:00:00,2025-05-07 00:00:00,'-122,$0.00,$1740.00,$1740,✔ Pagado,2025-12-08 00:00:00,2025-05-14 00:00:00,⚠ Facturado Fuera de Tiempo,215,"OPACIMETRO NO CALIBRA, LECTURAS INESTABLES Y FALLA EN COMUNICACION"
42337,35,147,Regulares,2025-06-30 00:00:00,2025-07-09 00:00:00,2025-08-08 00:00:00,2025-06-30 00:00:00,'-9,$0.00,$3480.00,$3480,✔ Pagado,2001-01-01 00:00:00,2025-07-07 00:00:00,❌ No Facturado (Fuera de Tiempo),214,NO PASA PRUEBA DE FUGAS
42174,16,1604,Regulares,2025-06-11 00:00:00,2025-07-01 00:00:00,2025-07-31 00:00:00,2025-07-01 00:00:00,0,$0.00,$11049.95,$11049.95,✔ Pagado,2001-01-01 00:00:00,2025-07-08 00:00:00,❌ No Facturado (Fuera de Tiempo),213,MANTENIMIENTO PREVENTIVO - 1 LINEAS 27/6/25
36219,30,106,Especiales,2024-02-22 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-06-24 00:00:00,123,$0.00,$618101.36,$618101.36,❌ Pago Con Atraso,2025-01-21 00:00:00,2024-07-01 00:00:00,⚠ Facturado Fuera de Tiempo,211,ANTICIPO 50% DE DINAMOMETRO MUSTANG
36239,30,110,Especiales,2024-02-23 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-04 00:00:00,132,$0.00,$652901.36,$652901.36,❌ Pago Con Atraso,2025-01-29 00:00:00,2024-07-11 00:00:00,⚠ Facturado Fuera de Tiempo,209, DINAMOMETRO MUSTANG
40532,30,24,Regulares,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-02-28 00:00:00,2025-01-05 00:00:00,'-24,$0.00,$1740.00,$1740,✔ Pagado,2025-07-30 00:00:00,2025-01-12 00:00:00,⚠ Facturado Fuera de Tiempo,206,ERROR DE BASE DE DATOS AL REALIZAR CAPTURAS  V-024/B-XAL
36488,30,111,Especiales,2024-03-08 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-08 00:00:00,122,$0.00,$686399.99,$686399.99,❌ Pago Con Atraso,2025-01-29 00:00:00,2024-07-15 00:00:00,⚠ Facturado Fuera de Tiempo,205,"ANTICIPO LINEA GASOLINA, DINAMOMETRO, LINEA DIESEL DUAL, COMPUTO, AFORO, VIDEO."
36458,30,38,Regulares,2024-03-06 00:00:00,2024-03-12 00:00:00,2024-04-11 00:00:00,2024-03-07 00:00:00,'-5,$0.00,$6438.00,$6438,✔ Pagado,2024-09-23 00:00:00,2024-03-14 00:00:00,⚠ Facturado Fuera de Tiempo,200,V-038/E-VER REFACCIONES - 2 OBDII (1 CON AMP Y 1 USB)
36589,30,112,Especiales,2024-03-19 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-15 00:00:00,118,$0.00,$1266695.29,$1266695.29,❌ Pago Con Atraso,2025-01-28 00:00:00,2024-07-22 00:00:00,⚠ Facturado Fuera de Tiempo,197,"SE CANCELA ESTA PREFACTURA, SE DUPLICO POR LA PREFACTURA 36884"
36884,30,112,Especiales,2024-04-09 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-15 00:00:00,97,$0.00,$1266695.29,$1266695.29,❌ Pago Con Atraso,2025-01-28 00:00:00,2024-07-22 00:00:00,⚠ Facturado Fuera de Tiempo,197,"VENTA DE EQUIPO, GASOLINA, DIESEL DUAL,DINAMOMETRO AZTEC,COMPUTO,VIDEO,AFORO"
37054,30,102,Especiales,2024-04-23 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-23 00:00:00,91,$0.00,$604584.30,$604584.3,❌ Pago Con Atraso,2025-01-29 00:00:00,2024-07-30 00:00:00,⚠ Facturado Fuera de Tiempo,190,"VENTA DE EQUIPO, GASOLINA,COMPUTO,VIDEO,AFORO"
40725,20,9,Especiales,2025-02-11 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2025-03-24 00:00:00,41,$0.00,$450093.63,$450093.63,❌ Pago Con Atraso,2025-09-25 00:00:00,2025-03-31 00:00:00,⚠ Facturado Fuera de Tiempo,185,VENTA DE LINEA GASOLINA
36220,30,106,Especiales,2024-02-22 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-31 00:00:00,160,$0.00,$679984.14,$679984.14,❌ Pago Con Atraso,2025-01-30 00:00:00,2024-08-07 00:00:00,⚠ Facturado Fuera de Tiempo,183,"ANTICIPO DE EQUIPO  60%, LINEA GASOLINA, CENTRO DE COMPUTO, LINEA DIESEL DUAL, SISTEMA DE VIDEO, SISTEMA DE AFORO"
36224,30,108,Especiales,2024-02-22 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-31 00:00:00,160,$0.00,$526633.21,$526633.21,❌ Pago Con Atraso,2025-01-30 00:00:00,2024-08-07 00:00:00,⚠ Facturado Fuera de Tiempo,183,"ANTICIPO DE EQUIPO , LINEA GASOLINA, CENTRO DE COMPUTO, LINEA DIESEL DUAL, SISTEMA DE VIDEO, SISTEMA DE AFORO"
36226,30,109,Especiales,2024-02-22 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-31 00:00:00,160,$0.00,$363965.97,$363965.97,❌ Pago Con Atraso,2025-01-30 00:00:00,2024-08-07 00:00:00,⚠ Facturado Fuera de Tiempo,183,"VENTA DE EQUIPO DE EQUIPO , LINEA GASOLINA."
37053,30,114,Especiales,2024-04-23 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-30 00:00:00,98,$0.00,$1266695.29,$1266695.29,❌ Pago Con Atraso,2025-01-28 00:00:00,2024-08-06 00:00:00,⚠ Facturado Fuera de Tiempo,182,"VENTA DE EQUIPO, GASOLINA,DIESEL,DUAL,DINO AZTEC,COMPUTO,VIDEO,AFORO"
37384,30,111,Especiales,2024-05-20 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-31 00:00:00,72,$0.00,$12257.00,$12257,❌ Pago Con Atraso,2025-01-29 00:00:00,2024-08-07 00:00:00,⚠ Facturado Fuera de Tiempo,182,VENTA DE CONTROLADOR BIFASICO
36222,30,107,Especiales,2024-02-22 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-31 00:00:00,160,$0.00,$526633.21,$526633.21,❌ Pago Con Atraso,2025-01-28 00:00:00,2024-08-07 00:00:00,⚠ Facturado Fuera de Tiempo,181,"ANTICIPO DE EQUIPO , LINEA GASOLINA, CENTRO DE COMPUTO, LINEA DIESEL DUAL, SISTEMA DE VIDEO, SISTEMA DE AFORO"
37862,30,121,Especiales,2024-06-24 00:00:00,2000-01-01 00:00:00,2000-01-31 00:00:00,2024-07-31 00:00:00,37,$0.00,$363965.97,$363965.97,❌ Pago Con Atraso,2025-01-28 00:00:00,2024-08-07 00:00:00,⚠ Facturado Fuera de Tiempo,181,VENTA DE SEGUNDA LINEA DEL CENTRO MT 09
