Reporte,Estado,Centro,Calificación,Fecha Reporte,Atendido,Fecha Pago,Deuda,Pagos,Total,Estado Pago,Tiempo hasta pago,Falla
40235,9,53,MAC´s,2025-01-06 00:00:00,2025-01-22 00:00:00,2001-01-01 00:00:00,$43030.37,$0.00,$43030.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
40561,9,2,MAC´s,2025-02-04 00:00:00,2025-02-18 00:00:00,2001-01-01 00:00:00,$43030.37,$0.00,$43030.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
40576,9,53,MAC´s,2025-02-04 00:00:00,2025-02-18 00:00:00,2001-01-01 00:00:00,$43030.37,$0.00,$43030.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
39114,9,2,MAC´s,2024-10-01 00:00:00,2024-10-29 00:00:00,2001-01-01 00:00:00,$41131.33,$0.00,$41131.33,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
37932,9,2,MAC´s,2024-07-01 00:00:00,2024-07-19 00:00:00,2001-01-01 00:00:00,$39882.25,$0.00,$39882.25,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
37533,9,2,MAC´s,2024-06-01 00:00:00,2024-06-19 00:00:00,2001-01-01 00:00:00,$38977.45,$0.00,$38977.45,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44322,9,4,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$36106.48,$0.00,$36106.48,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44329,9,39,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$36106.48,$0.00,$36106.48,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44330,9,43,MAC´s,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$36106.48,$0.00,$36106.48,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44334,9,83,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$36106.48,$0.00,$36106.48,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44335,9,85,Regulares,2026-01-02 00:00:00,2026-01-08 00:00:00,2001-01-01 00:00:00,$36106.48,$0.00,$36106.48,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40934,9,38,MAC´s,2025-03-03 00:00:00,2025-03-04 00:00:00,2001-01-01 00:00:00,$34597.37,$0.00,$34597.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40936,9,40,MAC´s,2025-03-03 00:00:00,2025-03-24 00:00:00,2001-01-01 00:00:00,$34597.37,$0.00,$34597.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40940,9,65,65,2025-03-03 00:00:00,2025-03-20 00:00:00,2001-01-01 00:00:00,$34597.37,$0.00,$34597.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41284,9,37,MAC´s,2025-04-01 00:00:00,2025-04-14 00:00:00,2001-01-01 00:00:00,$34597.37,$0.00,$34597.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41285,9,38,MAC´s,2025-04-01 00:00:00,2025-04-04 00:00:00,2001-01-01 00:00:00,$34597.37,$0.00,$34597.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41287,9,40,MAC´s,2025-04-01 00:00:00,2025-04-16 00:00:00,2001-01-01 00:00:00,$34597.37,$0.00,$34597.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41288,9,43,MAC´s,2025-04-01 00:00:00,2025-04-03 00:00:00,2001-01-01 00:00:00,$34597.37,$0.00,$34597.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41291,9,65,65,2025-04-01 00:00:00,2025-04-29 00:00:00,2001-01-01 00:00:00,$34597.37,$0.00,$34597.37,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44065,9,4,Regulares,2025-12-01 00:00:00,2025-12-22 00:00:00,2001-01-01 00:00:00,$34597.37,$0.00,$34597.37,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41647,9,37,MAC´s,2025-05-01 00:00:00,2025-05-20 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41648,9,38,MAC´s,2025-05-01 00:00:00,2025-05-09 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41650,9,40,MAC´s,2025-05-01 00:00:00,2025-05-15 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41651,9,43,MAC´s,2025-05-01 00:00:00,2025-05-07 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41654,9,65,65,2025-05-01 00:00:00,2025-05-28 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41986,9,37,MAC´s,2025-06-02 00:00:00,2025-06-16 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41987,9,38,MAC´s,2025-06-02 00:00:00,2025-06-02 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41989,9,40,MAC´s,2025-06-02 00:00:00,2025-06-06 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41990,9,43,MAC´s,2025-06-02 00:00:00,2025-06-04 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
41993,9,65,65,2025-06-02 00:00:00,2025-06-30 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
42357,9,37,MAC´s,2025-07-01 00:00:00,2025-07-10 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
42358,9,38,MAC´s,2025-07-01 00:00:00,2025-07-02 00:00:00,2000-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
42360,9,40,MAC´s,2025-07-01 00:00:00,2025-07-09 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
42361,9,43,MAC´s,2025-07-01 00:00:00,2025-07-15 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
42364,9,65,65,2025-07-01 00:00:00,2025-07-25 00:00:00,2001-01-01 00:00:00,$34597.32,$0.00,$34597.32,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40229,9,37,MAC´s,2025-01-06 00:00:00,2025-01-14 00:00:00,2001-01-01 00:00:00,$34424.30,$0.00,$34424.3,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40230,9,38,MAC´s,2025-01-06 00:00:00,2025-01-06 00:00:00,2001-01-01 00:00:00,$34424.30,$0.00,$34424.3,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40232,9,40,MAC´s,2025-01-06 00:00:00,2025-01-09 00:00:00,2001-01-01 00:00:00,$34424.30,$0.00,$34424.3,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40233,9,43,MAC´s,2025-01-06 00:00:00,2025-01-07 00:00:00,2001-01-01 00:00:00,$34424.30,$0.00,$34424.3,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40236,9,65,65,2025-01-06 00:00:00,2025-01-16 00:00:00,2001-01-01 00:00:00,$34424.30,$0.00,$34424.3,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40570,9,37,MAC´s,2025-02-04 00:00:00,2025-02-26 00:00:00,2001-01-01 00:00:00,$34424.30,$0.00,$34424.3,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40571,9,38,MAC´s,2025-02-04 00:00:00,2025-02-05 00:00:00,2001-01-01 00:00:00,$34424.30,$0.00,$34424.3,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40573,9,40,MAC´s,2025-02-04 00:00:00,2025-02-19 00:00:00,2001-01-01 00:00:00,$34424.30,$0.00,$34424.3,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40574,9,43,MAC´s,2025-02-04 00:00:00,2025-02-06 00:00:00,2001-01-01 00:00:00,$34424.30,$0.00,$34424.3,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
40577,9,65,65,2025-02-04 00:00:00,2025-02-12 00:00:00,2001-01-01 00:00:00,$34424.30,$0.00,$34424.3,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
38757,9,65,65,2024-09-01 00:00:00,2024-09-19 00:00:00,2001-01-01 00:00:00,$33076.01,$0.00,$33076.01,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44354,15,827,Rodrigo Vega,2026-01-02 00:00:00,2026-01-07 00:00:00,2001-01-01 00:00:00,$32960.82,$0.00,$32960.82,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44358,15,831,Rodrigo Vega,2026-01-02 00:00:00,2026-01-08 00:00:00,2001-01-01 00:00:00,$32960.82,$0.00,$32960.82,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44361,15,848,Rodrigo Vega,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$32960.82,$0.00,$32960.82,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44362,15,849,Rodrigo Vega,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$32960.82,$0.00,$32960.82,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44363,15,850,Rodrigo Vega,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$32960.82,$0.00,$32960.82,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44364,15,851,Rodrigo Vega,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$32960.82,$0.00,$32960.82,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44366,15,868,Rodrigo Vega,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$32960.82,$0.00,$32960.82,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44367,15,870,Especiales,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$32960.82,$0.00,$32960.82,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44372,15,984,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$32960.82,$0.00,$32960.82,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44338,13,3,Regulares,2026-01-02 00:00:00,2026-01-09 00:00:00,2001-01-01 00:00:00,$32959.20,$0.00,$32959.2,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44339,13,5,Regulares,2026-01-02 00:00:00,2026-01-07 00:00:00,2001-01-01 00:00:00,$32959.20,$0.00,$32959.2,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44340,13,6,Regulares,2026-01-02 00:00:00,2026-01-08 00:00:00,2001-01-01 00:00:00,$32959.20,$0.00,$32959.2,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
39515,9,65,65,2024-11-01 00:00:00,2024-11-15 00:00:00,2001-01-01 00:00:00,$32917.46,$0.00,$32917.46,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
39888,9,65,65,2024-12-02 00:00:00,2024-12-05 00:00:00,2001-01-01 00:00:00,$32917.46,$0.00,$32917.46,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
39123,9,37,MAC´s,2024-10-01 00:00:00,2024-10-15 00:00:00,2001-01-01 00:00:00,$32905.06,$0.00,$32905.06,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
39124,9,38,MAC´s,2024-10-01 00:00:00,2024-10-03 00:00:00,2001-01-01 00:00:00,$32905.06,$0.00,$32905.06,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
39126,9,40,MAC´s,2024-10-01 00:00:00,2024-10-10 00:00:00,2001-01-01 00:00:00,$32905.06,$0.00,$32905.06,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
39130,9,65,65,2024-10-01 00:00:00,2024-10-22 00:00:00,2001-01-01 00:00:00,$32905.06,$0.00,$32905.06,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44350,15,818,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$32689.67,$0.00,$32689.67,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44355,15,828,Rodrigo Vega,2026-01-02 00:00:00,2026-01-06 00:00:00,2001-01-01 00:00:00,$32689.67,$0.00,$32689.67,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44356,15,829,Rodrigo Vega,2026-01-02 00:00:00,2026-01-06 00:00:00,2001-01-01 00:00:00,$32689.67,$0.00,$32689.67,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44360,15,847,Rodrigo Vega,2026-01-02 00:00:00,2026-01-05 00:00:00,2001-01-01 00:00:00,$32689.67,$0.00,$32689.67,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44368,15,913,Regulares,2026-01-02 00:00:00,2026-01-02 00:00:00,2001-01-01 00:00:00,$32689.67,$0.00,$32689.67,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
35891,9,40,MAC´s,2024-02-01 00:00:00,2024-02-19 00:00:00,2024-02-29 00:00:00,$31905.80,$0.00,$31905.8,⚠ Atraso,10,MANTENIMIENTO PREVENTIVO -4 LINEAS
37132,9,37,MAC´s,2024-05-02 00:00:00,2024-05-14 00:00:00,2001-01-01 00:00:00,$31905.80,$0.00,$31905.8,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
37542,9,37,MAC´s,2024-06-01 00:00:00,2024-06-26 00:00:00,2001-01-01 00:00:00,$31905.80,$0.00,$31905.8,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
37941,9,37,MAC´s,2024-07-01 00:00:00,2024-07-22 00:00:00,2001-01-01 00:00:00,$31905.80,$0.00,$31905.8,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
37942,9,38,MAC´s,2024-07-01 00:00:00,2024-07-04 00:00:00,2001-01-01 00:00:00,$31905.80,$0.00,$31905.8,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
37945,9,43,MAC´s,2024-07-01 00:00:00,2024-07-06 00:00:00,2001-01-01 00:00:00,$31905.80,$0.00,$31905.8,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
38336,9,65,65,2024-08-01 00:00:00,2024-08-19 00:00:00,2001-01-01 00:00:00,$31905.80,$0.00,$31905.8,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44089,15,818,Regulares,2025-12-01 00:00:00,2025-12-30 00:00:00,2001-01-01 00:00:00,$31356.89,$0.00,$31356.89,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -5 LINEAS
44321,9,3,Regulares,2026-01-02 00:00:00,2026-01-06 00:00:00,2001-01-01 00:00:00,$27079.86,$0.00,$27079.86,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44323,9,5,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$27079.86,$0.00,$27079.86,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
44325,9,11,Regulares,2026-01-02 00:00:00,2026-01-08 00:00:00,2001-01-01 00:00:00,$27079.86,$0.00,$27079.86,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
44331,9,44,MAC´s,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$27079.86,$0.00,$27079.86,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
44333,9,65,65,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$27079.86,$0.00,$27079.86,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
44369,15,915,Regulares,2026-01-02 00:00:00,2026-01-08 00:00:00,2001-01-01 00:00:00,$26368.66,$0.00,$26368.66,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44343,13,9,Regulares,2026-01-02 00:00:00,2026-01-06 00:00:00,2001-01-01 00:00:00,$26367.36,$0.00,$26367.36,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44351,15,820,Rodrigo Vega,2026-01-02 00:00:00,2026-01-05 00:00:00,2001-01-01 00:00:00,$26151.74,$0.00,$26151.74,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44352,15,821,Rodrigo Vega,2026-01-02 00:00:00,2026-01-05 00:00:00,2001-01-01 00:00:00,$26151.74,$0.00,$26151.74,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44336,13,1,Regulares,2026-01-02 00:00:00,2026-01-05 00:00:00,2001-01-01 00:00:00,$26150.44,$0.00,$26150.44,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
43757,9,65,65,2025-11-03 00:00:00,2025-11-13 00:00:00,2001-01-01 00:00:00,$25948.03,$0.00,$25948.03,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
44073,9,65,65,2025-12-01 00:00:00,2025-12-05 00:00:00,2001-01-01 00:00:00,$25948.03,$0.00,$25948.03,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
42709,9,65,65,2025-08-01 00:00:00,2025-08-25 00:00:00,2001-01-01 00:00:00,$25947.99,$0.00,$25947.99,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
43081,9,65,65,2025-09-01 00:00:00,2025-09-23 00:00:00,2001-01-01 00:00:00,$25947.99,$0.00,$25947.99,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
43425,9,65,65,2025-10-01 00:00:00,2025-10-15 00:00:00,2001-01-01 00:00:00,$25947.99,$0.00,$25947.99,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
36321,9,40,MAC´s,2024-03-01 00:00:00,2024-03-27 00:00:00,2001-01-01 00:00:00,$23929.35,$0.00,$23929.35,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
37135,9,40,MAC´s,2024-05-02 00:00:00,2024-05-22 00:00:00,2001-01-01 00:00:00,$23929.35,$0.00,$23929.35,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
37545,9,40,MAC´s,2024-06-01 00:00:00,2024-06-14 00:00:00,2001-01-01 00:00:00,$23929.35,$0.00,$23929.35,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
37548,9,49,MAC´s,2024-06-01 00:00:00,2024-06-21 00:00:00,2001-01-01 00:00:00,$23929.35,$0.00,$23929.35,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
37944,9,40,MAC´s,2024-07-01 00:00:00,2024-07-19 00:00:00,2001-01-01 00:00:00,$23929.35,$0.00,$23929.35,⚠ Atraso,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44376,17,1715,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$23794.20,$0.00,$23794.2,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44377,17,1716,Regulares,2026-01-02 00:00:00,2026-01-06 00:00:00,2001-01-01 00:00:00,$23794.20,$0.00,$23794.2,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44378,17,1717,Regulares,2026-01-02 00:00:00,2026-01-12 00:00:00,2001-01-01 00:00:00,$23794.20,$0.00,$23794.2,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44347,15,801,Regulares,2026-01-02 00:00:00,2026-01-07 00:00:00,2001-01-01 00:00:00,$22390.64,$0.00,$22390.64,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44349,15,806,Regulares,2026-01-02 00:00:00,2026-01-05 00:00:00,2001-01-01 00:00:00,$22390.64,$0.00,$22390.64,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -4 LINEAS
44357,15,830,Rodrigo Vega,2026-01-02 00:00:00,2026-01-09 00:00:00,2001-01-01 00:00:00,$19776.49,$0.00,$19776.49,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
44359,15,832,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$19776.49,$0.00,$19776.49,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
44365,15,852,Rodrigo Vega,2026-01-02 00:00:00,2026-01-07 00:00:00,2001-01-01 00:00:00,$19776.49,$0.00,$19776.49,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
44370,15,916,Regulares,2026-01-02 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,$19776.49,$0.00,$19776.49,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
44337,13,2,Regulares,2026-01-02 00:00:00,2026-01-09 00:00:00,2001-01-01 00:00:00,$19775.52,$0.00,$19775.52,⚠ Pendiente Pago,Sin pago,MANTENIMIENTO PREVENTIVO -3 LINEAS
